step time_fs KE_kcal_mol PE_kcal_mol TE_kcal_mol T_K
71 71.000000 2.7125729521 -7.5210220149 -4.8084490629 70.001010
72 72.000000 2.7195797577 -7.5280798115 -4.8085000537 70.181829
73 73.000000 2.7259430317 -7.5344942109 -4.8085511793 70.346040
74 74.000000 2.7316967882 -7.5402992090 -4.8086024207 70.494522
75 75.000000 2.7368748837 -7.5455286438 -4.8086537602 70.628149
76 76.000000 2.7415109296 -7.5502161099 -4.8087051804 70.747787
77 77.000000 2.7456382159 -7.5543948808 -4.8087566649 70.854297
78 78.000000 2.7492896429 -7.5580978412 -4.8088081982 70.948526
79 79.000000 2.7524976612 -7.5613574267 -4.8088597655 71.031312
80 80.000000 2.7552942187 -7.5642055715 -4.8089113528 71.103481
81 81.000000 2.7577107141 -7.5666736612 -4.8089629471 71.165841
82 82.000000 2.7597779564 -7.5687924925 -4.8090145361 71.219189
83 83.000000 2.7615261291 -7.5705922373 -4.8090661082 71.264302
84 84.000000 2.7629847587 -7.5721024116 -4.8091176529 71.301944
85 85.000000 2.7641826880 -7.5733518482 -4.8091691602 71.332858
86 86.000000 2.7651480518 -7.5743686728 -4.8092206210 71.357770
87 87.000000 2.7659082562 -7.5751802832 -4.8092720270 71.377388
88 88.000000 2.7664899605 -7.5758133310 -4.8093233705 71.392399
89 89.000000 2.7669190612 -7.5762937057 -4.8093746445 71.403473
90 90.000000 2.7672206777 -7.5766465205 -4.8094258428 71.411256
91 91.000000 2.7674191405 -7.5768961002 -4.8094769597 71.416378
92 92.000000 2.7675379802 -7.5770659702 -4.8095279901 71.419445
93 93.000000 2.7675999175 -7.5771788469 -4.8095789295 71.421043
94 94.000000 2.7676268556 -7.5772566295 -4.8096297739 71.421738
95 95.000000 2.7676398721 -7.5773203921 -4.8096805200 71.422074
96 96.000000 2.7676592128 -7.5773903777 -4.8097311648 71.422573
97 97.000000 2.7677042862 -7.5774859919 -4.8097817057 71.423736
98 98.000000 2.7677936579 -7.5776257986 -4.8098321407 71.426043
99 99.000000 2.7679450473 -7.5778275152 -4.8098824679 71.429950
100 100.000000 2.7681753237 -7.5781080097 -4.8099326860 71.435892
101 101.000000 2.7685005035 -7.5784832975 -4.8099827940 71.444284
102 102.000000 2.7689357487 -7.5789685397 -4.8100327910 71.455516
103 103.000000 2.7694953652 -7.5795780417 -4.8100826765 71.469957
104 104.000000 2.7701928028 -7.5803252531 -4.8101324503 71.487955
105 105.000000 2.7710406554 -7.5812227676 -4.8101821122 71.509835
106 106.000000 2.7720506625 -7.5822823248 -4.8102316623 71.535900
107 107.000000 2.7732337115 -7.5835148123 -4.8102811008 71.566429
108 108.000000 2.7745998404 -7.5849302686 -4.8103304281 71.601684
109 109.000000 2.7761582430 -7.5865378877 -4.8103796447 71.641900
110 110.000000 2.7779172731 -7.5883460241 -4.8104287511 71.687294
111 111.000000 2.7798844518 -7.5903621996 -4.8104777478 71.738059
112 112.000000 2.7820664746 -7.5925931101 -4.8105266356 71.794369
113 113.000000 2.7844692202 -7.5950446352 -4.8105754150 71.856374
114 114.000000 2.7870977604 -7.5977218472 -4.8106240868 71.924207
115 115.000000 2.7899563714 -7.6006290230 -4.8106726516 71.997977
116 116.000000 2.7930485459 -7.6037696559 -4.8107211101 72.077774
117 117.000000 2.7963770070 -7.6071464697 -4.8107694627 72.163668
118 118.000000 2.7999437228 -7.6107614330 -4.8108177102 72.255711
119 119.000000 2.8037499228 -7.6146157757 -4.8108658529 72.353935
120 120.000000 2.8077961146 -7.6187100060 -4.8109138913 72.458351
121 121.000000 2.8120821031 -7.6230439289 -4.8109618258 72.568956
122 122.000000 2.8166070095 -7.6276166660 -4.8110096565 72.685726
123 123.000000 2.8213692922 -7.6324266759 -4.8110573837 72.808623
124 124.000000 2.8263667687 -7.6374717762 -4.8111050074 72.937588
125 125.000000 2.8315966382 -7.6427491658 -4.8111525276 73.072551
126 126.000000 2.8370555050 -7.6482554492 -4.8111999443 73.213423
127 127.000000 2.8427394036 -7.6539866606 -4.8112472570 73.360102
128 128.000000 2.8486438234 -7.6599382890 -4.8112944656 73.512473
129 129.000000 2.8547637352 -7.6661053048 -4.8113415696 73.670404
130 130.000000 2.8610936174 -7.6724821858 -4.8113885684 73.833754
131 131.000000 2.8676274835 -7.6790629449 -4.8114354613 74.002367
132 132.000000 2.8743589094 -7.6858411571 -4.8114822477 74.176079
133 133.000000 2.8812810613 -7.6928099879 -4.8115289266 74.354713
134 134.000000 2.8883867243 -7.6999622214 -4.8115754971 74.538083
135 135.000000 2.8956683303 -7.7072902885 -4.8116219581 74.725993
136 136.000000 2.9031179868 -7.7147862952 -4.8116683085 74.918240
137 137.000000 2.9107275048 -7.7224420517 -4.8117145469 75.114612
138 138.000000 2.9184884277 -7.7302490998 -4.8117606721 75.314892
139 139.000000 2.9263920590 -7.7381987416 -4.8118066826 75.518854
140 140.000000 2.9344294905 -7.7462820673 -4.8118525768 75.726269
141 141.000000 2.9425916292 -7.7544899824 -4.8118983532 75.936902
142 142.000000 2.9508692251 -7.7628132351 -4.8119440101 76.150515
143 143.000000 2.9592528972 -7.7712424428 -4.8119895456 76.366865
144 144.000000 2.9677331599 -7.7797681180 -4.8120349581 76.585708
145 145.000000 2.9763004481 -7.7883806936 -4.8120802454 76.806796
146 146.000000 2.9849451422 -7.7970705480 -4.8121254058 77.029882
147 147.000000 2.9936575916 -7.8058280287 -4.8121704371 77.254717
148 148.000000 3.0024281386 -7.8146434759 -4.8122153373 77.481051
149 149.000000 3.0112471404 -7.8235072445 -4.8122601041 77.708635
150 150.000000 3.0201049907 -7.8324097261 -4.8123047354 77.937222
151 151.000000 3.0289921405 -7.8413413694 -4.8123492289 78.166565
152 152.000000 3.0378991179 -7.8502927002 -4.8123935823 78.396419
153 153.000000 3.0468165471 -7.8592543403 -4.8124377932 78.626544
154 154.000000 3.0557351663 -7.8682170255 -4.8124818593 78.856699
155 155.000000 3.0646458449 -7.8771716229 -4.8125257780 79.086649
156 156.000000 3.0735395996 -7.8861091465 -4.8125695469 79.316162
157 157.000000 3.0824076099 -7.8950207733 -4.8126131635 79.545011
158 158.000000 3.0912412320 -7.9038978571 -4.8126566251 79.772973
159 159.000000 3.1000320127 -7.9127319421 -4.8126999293 79.999829
160 160.000000 3.1087717018 -7.9215147752 -4.8127430734 80.225366
161 161.000000 3.1174522638 -7.9302383186 -4.8127860548 80.449378
162 162.000000 3.1260658886 -7.9388947594 -4.8128288708 80.671662
163 163.000000 3.1346050020 -7.9474765207 -4.8128715187 80.892024
164 164.000000 3.1430622746 -7.9559762704 -4.8129139958 81.110273
165 165.000000 3.1514306300 -7.9643869295 -4.8129562995 81.326228
166 166.000000 3.1597032533 -7.9727016803 -4.8129984269 81.539713
167 167.000000 3.1678735973 -7.9809139728 -4.8130403755 81.750558
168 168.000000 3.1759353893 -7.9890175317 -4.8130821424 81.958601
169 169.000000 3.1838826366 -7.9970063615 -4.8131237249 82.163689
170 170.000000 3.1917096314 -8.0048747517 -4.8131651203 82.365673
171 171.000000 3.1994109554 -8.0126172814 -4.8132063260 82.564415
172 172.000000 3.2069814836 -8.0202288228 -4.8132473392 82.759781
173 173.000000 3.2144163877 -8.0277045449 -4.8132881572 82.951647
174 174.000000 3.2217111387 -8.0350399161 -4.8133287775 83.139896
175 175.000000 3.2288615091 -8.0422307065 -4.8133691974 83.324420
176 176.000000 3.2358635752 -8.0492729895 -4.8134094144 83.505116
177 177.000000 3.2427137180 -8.0561631439 -4.8134494259 83.681892
178 178.000000 3.2494086247 -8.0628978542 -4.8134892295 83.854661
179 179.000000 3.2559452887 -8.0694741114 -4.8135288227 84.023347
180 180.000000 3.2623210102 -8.0758892135 -4.8135682032 84.187880
181 181.000000 3.2685333959 -8.0821407647 -4.8136073688 84.348197
182 182.000000 3.2745803587 -8.0882266758 -4.8136463171 84.504246
183 183.000000 3.2804601164 -8.0941451626 -4.8136850462 84.655980
184 184.000000 3.2861711913 -8.0998947452 -4.8137235539 84.803361
185 185.000000 3.2917124082 -8.1054742465 -4.8137618383 84.946358
186 186.000000 3.2970828928 -8.1108827904 -4.8137998976 85.084949
187 187.000000 3.3022820696 -8.1161197998 -4.8138377301 85.219120
188 188.000000 3.3073096601 -8.1211849943 -4.8138753342 85.348863
189 189.000000 3.3121656794 -8.1260783878 -4.8139127084 85.474178
190 190.000000 3.3168504342 -8.1308002856 -4.8139498514 85.595073
191 191.000000 3.3213645191 -8.1353512810 -4.8139867619 85.711564
192 192.000000 3.3257088134 -8.1397322524 -4.8140234390 85.823674
193 193.000000 3.3298844777 -8.1439443593 -4.8140598816 85.931431
194 194.000000 3.3338929494 -8.1479890386 -4.8140960892 86.034875
195 195.000000 3.3377359392 -8.1518680003 -4.8141320611 86.134047
196 196.000000 3.3414154263 -8.1555832233 -4.8141677970 86.229001
197 197.000000 3.3449336535 -8.1591369500 -4.8142032966 86.319792
198 198.000000 3.3482931225 -8.1625316824 -4.8142385599 86.406487
199 199.000000 3.3514965887 -8.1657701757 -4.8142735870 86.489156
200 200.000000 3.3545470550 -8.1688554334 -4.8143083784 86.567877
201 201.000000 3.3574477668 -8.1717907013 -4.8143429345 86.642733
202 202.000000 3.3602022050 -8.1745794613 -4.8143772562 86.713815
203 203.000000 3.3628140803 -8.1772254248 -4.8144113444 86.781217
204 204.000000 3.3652873260 -8.1797325263 -4.8144452004 86.845042
205 205.000000 3.3676260908 -8.1821049162 -4.8144788254 86.905396
206 206.000000 3.3698347323 -8.1843469534 -4.8145122211 86.962393
207 207.000000 3.3719178082 -8.1864631976 -4.8145453894 87.016149
208 208.000000 3.3738800694 -8.1884584017 -4.8145783323 87.066787
209 209.000000 3.3757264512 -8.1903375032 -4.8146110520 87.114435
210 210.000000 3.3774620649 -8.1921056160 -4.8146435511 87.159225
211 211.000000 3.3790921891 -8.1937680213 -4.8146758322 87.201292
212 212.000000 3.3806222604 -8.1953301587 -4.8147078983 87.240777
213 213.000000 3.3820578645 -8.1967976171 -4.8147397525 87.277825
214 214.000000 3.3834047263 -8.1981761245 -4.8147713983 87.312582
215 215.000000 3.3846686997 -8.1994715387 -4.8148028390 87.345200
216 216.000000 3.3858557584 -8.2006898370 -4.8148340786 87.375834
217 217.000000 3.3869719847 -8.2018371058 -4.8148651210 87.404639
218 218.000000 3.3880235597 -8.2029195301 -4.8148959704 87.431776
219 219.000000 3.3890167520 -8.2039433833 -4.8149266312 87.457407
220 220.000000 3.3899579074 -8.2049150153 -4.8149571080 87.481694
221 221.000000 3.3908534373 -8.2058408427 -4.8149874054 87.504804
222 222.000000 3.3917098080 -8.2067273366 -4.8150175285 87.526904
223 223.000000 3.3925335295 -8.2075810119 -4.8150474824 87.548161
224 224.000000 3.3933311437 -8.2084084160 -4.8150772723 87.568744
225 225.000000 3.3941092135 -8.2092161172 -4.8151069037 87.588823
226 226.000000 3.3948743109 -8.2100106931 -4.8151363822 87.608568
227 227.000000 3.3956330063 -8.2107987199 -4.8151657135 87.628147
228 228.000000 3.3963918564 -8.2115867600 -4.8151949036 87.647730
229 229.000000 3.3971573931 -8.2123813515 -4.8152239584 87.667485
230 230.000000 3.3979361124 -8.2131889964 -4.8152528841 87.687581
231 231.000000 3.3987344629 -8.2140161498 -4.8152816869 87.708183
232 232.000000 3.3995588353 -8.2148692085 -4.8153103733 87.729457
233 233.000000 3.4004155509 -8.2157545005 -4.8153389496 87.751565
234 234.000000 3.4013108513 -8.2166782738 -4.8153674225 87.774670
235 235.000000 3.4022508881 -8.2176466866 -4.8153957985 87.798928
236 236.000000 3.4032417122 -8.2186657967 -4.8154240846 87.824498
237 237.000000 3.4042892641 -8.2197415514 -4.8154522873 87.851531
238 238.000000 3.4053993644 -8.2208797781 -4.8154804137 87.880178
239 239.000000 3.4065777043 -8.2220861750 -4.8155084706 87.910587
240 240.000000 3.4078298366 -8.2233663017 -4.8155364651 87.942900
241 241.000000 3.4091611668 -8.2247255709 -4.8155644041 87.977256
242 242.000000 3.4105769455 -8.2261692403 -4.8155922948 88.013792
243 243.000000 3.4120822598 -8.2277024040 -4.8156201442 88.052638
244 244.000000 3.4136820263 -8.2293299858 -4.8156479595 88.093922
245 245.000000 3.4153809839 -8.2310567316 -4.8156757478 88.137765
246 246.000000 3.4171836870 -8.2328872033 -4.8157035163 88.184286
247 247.000000 3.4190945000 -8.2348257721 -4.8157312722 88.233597
248 248.000000 3.4211175907 -8.2368766134 -4.8157590227 88.285805
249 249.000000 3.4232569258 -8.2390437008 -4.8157867750 88.341013
250 250.000000 3.4255162659 -8.2413308022 -4.8158145364 88.399318
251 251.000000 3.4278991610 -8.2437414750 -4.8158423140 88.460811
252 252.000000 3.4304089473 -8.2462790623 -4.8158701150 88.525579
253 253.000000 3.4330487432 -8.2489466898 -4.8158979467 88.593702
254 254.000000 3.4358214467 -8.2517472629 -4.8159258162 88.665255
255 255.000000 3.4387297334 -8.2546834640 -4.8159537306 88.740306
256 256.000000 3.4417760540 -8.2577577513 -4.8159816973 88.818920
257 257.000000 3.4449626333 -8.2609723566 -4.8160097233 88.901153
258 258.000000 3.4482914692 -8.2643292849 -4.8160378156 88.987058
259 259.000000 3.4517643320 -8.2678303135 -4.8160659816 89.076679
260 260.000000 3.4553827643 -8.2714769924 -4.8160942281 89.170057
261 261.000000 3.4591480816 -8.2752706439 -4.8161225623 89.267225
262 262.000000 3.4630613732 -8.2792123644 -4.8161509912 89.368212
263 263.000000 3.4671235028 -8.2833030245 -4.8161795217 89.473040
264 264.000000 3.4713351106 -8.2875432715 -4.8162081609 89.581725
265 265.000000 3.4756966152 -8.2919335309 -4.8162369157 89.694278
266 266.000000 3.4802082160 -8.2964740089 -4.8162657929 89.810705
267 267.000000 3.4848698955 -8.3011646950 -4.8162947994 89.931005
268 268.000000 3.4896814231 -8.3060053652 -4.8163239421 90.055172
269 269.000000 3.4946423577 -8.3109955853 -4.8163532276 90.183195
270 270.000000 3.4997520520 -8.3161347147 -4.8163826627 90.315056
271 271.000000 3.5050096562 -8.3214219102 -4.8164122541 90.450735
272 272.000000 3.5104141223 -8.3268561306 -4.8164420083 90.590203
273 273.000000 3.5159642089 -8.3324361409 -4.8164719320 90.733429
274 274.000000 3.5216584857 -8.3381605173 -4.8165020316 90.880376
275 275.000000 3.5274953387 -8.3440276523 -4.8165323136 91.031003
276 276.000000 3.5334729755 -8.3500357598 -4.8165627842 91.185263
277 277.000000 3.5395894309 -8.3561828808 -4.8165934499 91.343105
278 278.000000 3.5458425721 -8.3624668889 -4.8166243168 91.504474
279 279.000000 3.5522301052 -8.3688854962 -4.8166553910 91.669312
280 280.000000 3.5587495809 -8.3754362594 -4.8166866785 91.837554
281 281.000000 3.5653984005 -8.3821165859 -4.8167181854 92.009134
282 282.000000 3.5721738227 -8.3889237402 -4.8167499175 92.183982
283 283.000000 3.5790729696 -8.3958548500 -4.8167818804 92.362022
284 284.000000 3.5860928333 -8.4029069132 -4.8168140799 92.543178
285 285.000000 3.5932302830 -8.4100768044 -4.8168465214 92.727368
286 286.000000 3.6004820709 -8.4173612813 -4.8168792104 92.914508
287 287.000000 3.6078448399 -8.4247569920 -4.8169121521 93.104513
288 288.000000 3.6153151296 -8.4322604812 -4.8169453517 93.297292
289 289.000000 3.6228893837 -8.4398681978 -4.8169788141 93.492754
290 290.000000 3.6305639569 -8.4475765011 -4.8170125442 93.690805
291 291.000000 3.6383351215 -8.4553816682 -4.8170465467 93.891349
292 292.000000 3.6461990747 -8.4632799009 -4.8170808262 94.094287
293 293.000000 3.6541519450 -8.4712673321 -4.8171153871 94.299520
294 294.000000 3.6621897999 -8.4793400333 -4.8171502335 94.506946
295 295.000000 3.6703086517 -8.4874940212 -4.8171853695 94.716462
296 296.000000 3.6785044654 -8.4957252643 -4.8172207989 94.927964
297 297.000000 3.6867731645 -8.5040296900 -4.8172565255 95.141347
298 298.000000 3.6951106383 -8.5124031910 -4.8172925528 95.356505
299 299.000000 3.7035127482 -8.5208416321 -4.8173288839 95.573331
300 300.000000 3.7119753343 -8.5293408564 -4.8173655221 95.791718
301 301.000000 3.7204942219 -8.5378966920 -4.8174024701 96.011557
302 302.000000 3.7290652274 -8.5465049582 -4.8174397307 96.232742
303 303.000000 3.7376841650 -8.5551614714 -4.8174773064 96.455163
304 304.000000 3.7463468524 -8.5638620518 -4.8175151994 96.678714
305 305.000000 3.7550491167 -8.5726025284 -4.8175534117 96.903285
306 306.000000 3.7637868002 -8.5813787453 -4.8175919451 97.128771
307 307.000000 3.7725557660 -8.5901865672 -4.8176308013 97.355064
308 308.000000 3.7813519034 -8.5990218850 -4.8176699815 97.582059
309 309.000000 3.7901711334 -8.6078806204 -4.8177094870 97.809649
310 310.000000 3.7990094131 -8.6167587318 -4.8177493187 98.037730
311 311.000000 3.8078627414 -8.6256522186 -4.8177894771 98.266201
312 312.000000 3.8167271632 -8.6345571260 -4.8178299629 98.494957
313 313.000000 3.8255987738 -8.6434695499 -4.8178707761 98.723899
314 314.000000 3.8344737238 -8.6523856405 -4.8179119168 98.952927
315 315.000000 3.8433482226 -8.6613016073 -4.8179533847 99.181944
316 316.000000 3.8522185426 -8.6702137220 -4.8179951794 99.410852
317 317.000000 3.8610810228 -8.6791183229 -4.8180373002 99.639559
318 318.000000 3.8699320723 -8.6880118184 -4.8180797461 99.867970
319 319.000000 3.8787681735 -8.6968906896 -4.8181225161 100.095995
320 320.000000 3.8875858854 -8.7057514942 -4.8181656088 100.323546
321 321.000000 3.8963818460 -8.7145908685 -4.8182090226 100.550536
322 322.000000 3.9051527753 -8.7234055310 -4.8182527557 100.776880
323 323.000000 3.9138954776 -8.7321922838 -4.8182968062 101.002495
324 324.000000 3.9226068437 -8.7409480157 -4.8183411719 101.227302
325 325.000000 3.9312838530 -8.7496697034 -4.8183858504 101.451222
326 326.000000 3.9399235749 -8.7583544141 -4.8184308392 101.674180
327 327.000000 3.9485231709 -8.7669993063 -4.8184761353 101.896102
328 328.000000 3.9570798958 -8.7756016318 -4.8185217360 102.116918
329 329.000000 3.9655910986 -8.7841587367 -4.8185676381 102.336559
330 330.000000 3.9740542238 -8.7926680622 -4.8186138383 102.554960
331 331.000000 3.9824668124 -8.8011271456 -4.8186603332 102.772056
332 332.000000 3.9908265020 -8.8095336210 -4.8187071190 102.987787
333 333.000000 3.9991310275 -8.8178852197 -4.8187541922 103.202095
334 334.000000 4.0073782215 -8.8261797702 -4.8188015487 103.414923
335 335.000000 4.0155660142 -8.8344151987 -4.8188491845 103.626218
336 336.000000 4.0236924334 -8.8425895289 -4.8188970955 103.835930
337 337.000000 4.0317556044 -8.8507008816 -4.8189452773 104.044009
338 338.000000 4.0397537492 -8.8587474747 -4.8189937255 104.250410
339 339.000000 4.0476851867 -8.8667276223 -4.8190424356 104.455090
340 340.000000 4.0555483314 -8.8746397344 -4.8190914029 104.658007
341 341.000000 4.0633416930 -8.8824823159 -4.8191406228 104.859124
342 342.000000 4.0710638753 -8.8902539658 -4.8191900904 105.058403
343 343.000000 4.0787135752 -8.8979533761 -4.8192398009 105.255812
344 344.000000 4.0862895817 -8.9055793309 -4.8192897492 105.451320
345 345.000000 4.0937907745 -8.9131307048 -4.8193399303 105.644897
346 346.000000 4.1012161227 -8.9206064618 -4.8193903391 105.836516
347 347.000000 4.1085646834 -8.9280056539 -4.8194409705 106.026154
348 348.000000 4.1158356002 -8.9353274195 -4.8194918193 106.213788
349 349.000000 4.1230281015 -8.9425709817 -4.8195428802 106.399399
350 350.000000 4.1301414990 -8.9497356470 -4.8195941479 106.582968
351 351.000000 4.1371751859 -8.9568208031 -4.8196456173 106.764480
352 352.000000 4.1441286348 -8.9638259177 -4.8196972828 106.943922
353 353.000000 4.1510013966 -8.9707505359 -4.8197491393 107.121281
354 354.000000 4.1577930976 -8.9775942790 -4.8198011814 107.296549
355 355.000000 4.1645034385 -8.9843568422 -4.8198534037 107.469717
356 356.000000 4.1711321919 -8.9910379928 -4.8199058008 107.640779
357 357.000000 4.1776792003 -8.9976375679 -4.8199583675 107.809732
358 358.000000 4.1841443743 -9.0041554728 -4.8200110984 107.976573
359 359.000000 4.1905276903 -9.0105916786 -4.8200639883 108.141302
360 360.000000 4.1968291887 -9.0169462204 -4.8201170317 108.303919
361 361.000000 4.2030489713 -9.0232191948 -4.8201702235 108.464428
362 362.000000 4.2091872000 -9.0294107585 -4.8202235584 108.622832
363 363.000000 4.2152440940 -9.0355211253 -4.8202770313 108.779137
364 364.000000 4.2212199280 -9.0415505649 -4.8203306370 108.933350
365 365.000000 4.2271150299 -9.0474994002 -4.8203843703 109.085480
366 366.000000 4.2329297791 -9.0533680054 -4.8204382262 109.235536
367 367.000000 4.2386646042 -9.0591568039 -4.8204921997 109.383529
368 368.000000 4.2443199806 -9.0648662665 -4.8205462859 109.529473
369 369.000000 4.2498964291 -9.0704969088 -4.8206004797 109.673379
370 370.000000 4.2553945133 -9.0760492897 -4.8206547764 109.815264
371 371.000000 4.2608148381 -9.0815240092 -4.8207091712 109.955141
372 372.000000 4.2661580471 -9.0869217064 -4.8207636593 110.093029
373 373.000000 4.2714248213 -9.0922430573 -4.8208182361 110.228944
374 374.000000 4.2766158767 -9.0974887736 -4.8208728969 110.362905
375 375.000000 4.2817319625 -9.1026595998 -4.8209276373 110.494931
376 376.000000 4.2867738596 -9.1077563123 -4.8209824527 110.625043
377 377.000000 4.2917423782 -9.1127797170 -4.8210373388 110.753261
378 378.000000 4.2966383563 -9.1177306475 -4.8210922913 110.879608
379 379.000000 4.3014626579 -9.1226099637 -4.8211473058 111.004104
380 380.000000 4.3062161715 -9.1274185498 -4.8212023783 111.126774
381 381.000000 4.3108998080 -9.1321573127 -4.8212575047 111.247641
382 382.000000 4.3155144994 -9.1368271801 -4.8213126808 111.366728
383 383.000000 4.3200611969 -9.1414290997 -4.8213679028 111.484061
384 384.000000 4.3245408697 -9.1459640365 -4.8214231667 111.599664
385 385.000000 4.3289545033 -9.1504329721 -4.8214784688 111.713562
386 386.000000 4.3333030979 -9.1548369033 -4.8215338054 111.825783
387 387.000000 4.3375876670 -9.1591768398 -4.8215891728 111.936351
388 388.000000 4.3418092364 -9.1634538038 -4.8216445673 112.045293
389 389.000000 4.3459688424 -9.1676688280 -4.8216999856 112.152637
390 390.000000 4.3500675304 -9.1718229546 -4.8217554242 112.258408
391 391.000000 4.3541063544 -9.1759172340 -4.8218108797 112.362634
392 392.000000 4.3580863747 -9.1799527235 -4.8218663488 112.465343
393 393.000000 4.3620086578 -9.1839304861 -4.8219218284 112.566562
394 394.000000 4.3658742743 -9.1878515896 -4.8219773152 112.666319
395 395.000000 4.3696842987 -9.1917171050 -4.8220328063 112.764641
396 396.000000 4.3734398076 -9.1955281062 -4.8220882986 112.861556
