step time_fs KE_kcal_mol PE_kcal_mol TE_kcal_mol T_K Q_A Q_H Q_B f_pol r_AH
16 16.000000 1.9364489188 69.8362398033 71.7726887221 40.602455 -0.51035640 0.50000000 0.01035640 0.02071279 1.00933974
17 17.000000 1.9886148083 69.7857270645 71.7743418728 41.696242 -0.51066893 0.50000000 0.01066893 0.02133787 1.01595534
18 18.000000 2.0318099464 69.7449819456 71.7767918920 42.601936 -0.51091360 0.50000000 0.01091360 0.02182720 1.02093900
19 19.000000 2.0920378667 69.6860173785 71.7780552452 43.864763 -0.51101582 0.50000000 0.01101582 0.02203165 1.02297295
20 20.000000 2.1837865551 69.5933643951 71.7771509502 45.788502 -0.51094352 0.50000000 0.01094352 0.02188705 1.02153729
21 21.000000 2.2966698462 69.4781182203 71.7747880665 48.155380 -0.51072018 0.50000000 0.01072018 0.02144037 1.01701307
22 22.000000 2.4049756753 69.3678954655 71.7728711408 50.426281 -0.51041527 0.50000000 0.01041527 0.02083054 1.01060823
23 23.000000 2.4924102357 69.2804995005 71.7729097362 52.259563 -0.51011807 0.50000000 0.01011807 0.02023614 1.00409476
24 24.000000 2.5692722759 69.2050926882 71.7743649641 53.871167 -0.50990946 0.50000000 0.00990946 0.01981891 0.99935242
25 25.000000 2.6616028711 69.1134771665 71.7750800376 55.807106 -0.50984254 0.50000000 0.00984254 0.01968507 0.99779997
26 26.000000 2.7808262687 68.9931410994 71.7739673681 58.306921 -0.50993377 0.50000000 0.00993377 0.01986753 0.99991258
27 27.000000 2.9092737892 68.8632073776 71.7724811668 61.000142 -0.51016086 0.50000000 0.01016086 0.02032172 1.00504978
28 28.000000 3.0200061519 68.7526947014 71.7727008532 63.321920 -0.51046558 0.50000000 0.01046558 0.02093117 1.01168387
29 29.000000 3.1066140431 68.6681961227 71.7748101658 65.137870 -0.51076401 0.50000000 0.01076401 0.02152801 1.01791160
30 30.000000 3.1892639205 68.5878222438 71.7770861643 66.870829 -0.51096768 0.50000000 0.01096768 0.02193536 1.02201846
31 31.000000 3.2940015087 68.4836910054 71.7776925141 69.066913 -0.51101272 0.50000000 0.01101272 0.02202543 1.02291154
32 32.000000 3.4282978136 68.3478607040 71.7761585176 71.882768 -0.51088454 0.50000000 0.01088454 0.02176908 1.02035566
33 33.000000 3.5744402052 68.1992642411 71.7737044463 74.947006 -0.51062399 0.50000000 0.01062399 0.02124798 1.01502160
34 34.000000 3.7058933396 68.0664538942 71.7723472339 77.703247 -0.51031090 0.50000000 0.01031090 0.02062180 1.00835223
35 35.000000 3.8130197206 67.9600318181 71.7730515387 79.949417 -0.51003525 0.50000000 0.01003525 0.02007050 1.00222941
36 36.000000 3.9127943393 67.8617177525 71.7745120918 82.041439 -0.50987080 0.50000000 0.00987080 0.01974159 0.99845744
37 37.000000 4.0288033400 67.7457625962 71.7745659361 84.473856 -0.50985920 0.50000000 0.00985920 0.01971840 0.99818797
38 38.000000 4.1620874477 67.6109187800 71.7730062277 87.268488 -0.51000379 0.50000000 0.01000379 0.02000759 1.00151497
39 39.000000 4.2886862489 67.4831998519 71.7718861008 89.922946 -0.51026911 0.50000000 0.01026911 0.02053822 1.00743958
40 40.000000 4.3874740655 67.3853735819 71.7728476475 91.994277 -0.51058581 0.50000000 0.01058581 0.02117162 1.01422387
41 41.000000 4.4642895089 67.3109707981 71.7752603070 93.604904 -0.51086469 0.50000000 0.01086469 0.02172939 1.01995600
42 42.000000 4.5464360935 67.2306740670 71.7771101605 95.327310 -0.51102180 0.50000000 0.01102180 0.02204360 1.02309097
43 43.000000 4.6567957411 67.1201235601 71.7769193013 97.641274 -0.51100809 0.50000000 0.01100809 0.02201619 1.02282010
44 44.000000 4.7935227069 66.9813316349 71.7748543418 100.508094 -0.51082919 0.50000000 0.01082919 0.02165838 1.01923832
45 45.000000 4.9320997232 66.8404988258 71.7725985490 103.413705 -0.51054305 0.50000000 0.01054305 0.02108609 1.01332529
46 46.000000 5.0478563186 66.7241573059 71.7720136245 105.840829 -0.51023713 0.50000000 0.01023713 0.02047427 1.00673745
47 47.000000 5.1392819407 66.6339697533 71.7732516940 107.757794 -0.50999866 0.50000000 0.00999866 0.01999732 1.00139801
48 48.000000 5.2274544554 66.5469240425 71.7743784979 109.606550 -0.50989142 0.50000000 0.00989142 0.01978283 0.99893547
49 49.000000 5.3292372814 66.4444531081 71.7736903895 111.740679 -0.50994376 0.50000000 0.00994376 0.01988752 1.00014226
50 50.000000 5.4351009261 66.3368925105 71.7719934366 113.960373 -0.51014479 0.50000000 0.01014479 0.02028958 1.00469180
51 51.000000 5.5198873905 66.2516472283 71.7715346188 115.738132 -0.51044565 0.50000000 0.01044565 0.02089130 1.01125862
52 52.000000 5.5731253632 66.2000465421 71.7731719053 116.854398 -0.51076726 0.50000000 0.01076726 0.02153452 1.01797809
53 53.000000 5.6125420280 66.1630275471 71.7755695751 117.680866 -0.51101846 0.50000000 0.01101846 0.02203691 1.02302495
54 54.000000 5.6680685096 66.1086766259 71.7767451355 118.845116 -0.51112404 0.50000000 0.01112404 0.02224808 1.02509618
55 55.000000 5.7552476336 66.0205297080 71.7757773416 120.673043 -0.51105269 0.50000000 0.01105269 0.02210538 1.02369973
56 56.000000 5.8622429364 65.9111908044 71.7734337408 122.916465 -0.51082968 0.50000000 0.01082968 0.02165937 1.01924832
57 57.000000 5.9603062722 65.8113076737 71.7716139459 124.972606 -0.51052644 0.50000000 0.01052644 0.02105288 1.01297485
58 58.000000 6.0291945390 65.7425489336 71.7717434726 126.417019 -0.51023358 0.50000000 0.01023358 0.02046716 1.00665929
59 59.000000 6.0746832791 65.6985144051 71.7731976841 127.370804 -0.51003246 0.50000000 0.01003246 0.02006493 1.00216626
60 60.000000 6.1185733792 65.6552705892 71.7738439683 128.291068 -0.50997592 0.50000000 0.00997592 0.01995185 1.00087920
61 61.000000 6.1703515914 65.6023511472 71.7727027386 129.376727 -0.51007961 0.50000000 0.01007961 0.02015922 1.00323133
62 62.000000 6.2146109138 65.5566461436 71.7712570574 130.304734 -0.51032011 0.50000000 0.01032011 0.02064022 1.00855272
63 63.000000 6.2303401933 65.5411476870 71.7714878804 130.634537 -0.51063795 0.50000000 0.01063795 0.02127589 1.01531217
64 64.000000 6.2177081753 65.5557915169 71.7734996922 130.369675 -0.51094811 0.50000000 0.01094811 0.02189621 1.02162870
65 65.000000 6.2012651152 65.5743566511 71.7756217663 130.024906 -0.51116141 0.50000000 0.01116141 0.02232282 1.02582240
66 66.000000 6.2086277006 65.5675121261 71.7761398267 130.179281 -0.51121348 0.50000000 0.01121348 0.02242697 1.02682841
67 67.000000 6.2470441635 65.5275971266 71.7746412900 130.984777 -0.51108924 0.50000000 0.01108924 0.02217849 1.02441679
68 68.000000 6.2975640311 65.4747122010 71.7722762321 132.044051 -0.51082893 0.50000000 0.01082893 0.02165786 1.01923304
69 69.000000 6.3310130460 65.4399270373 71.7709400833 132.745393 -0.51051197 0.50000000 0.01051197 0.02102394 1.01266889
70 70.000000 6.3332728812 65.4383248199 71.7715977012 132.792776 -0.51022855 0.50000000 0.01022855 0.02045711 1.00654853
71 71.000000 6.3165977163 65.4565119990 71.7731097153 132.443140 -0.51005346 0.50000000 0.01005346 0.02010691 1.00264137
72 72.000000 6.3031653571 65.4702430606 71.7734084176 132.161497 -0.51003013 0.50000000 0.01003013 0.02006026 1.00211333
73 73.000000 6.2977565144 65.4743470469 71.7721035613 132.048087 -0.51016437 0.50000000 0.01016437 0.02032874 1.00512782
74 74.000000 6.2825802216 65.4884008319 71.7709810535 131.729879 -0.51042373 0.50000000 0.01042373 0.02084746 1.01078954
75 75.000000 6.2404901563 65.5311823264 71.7716724826 130.847356 -0.51074194 0.50000000 0.01074194 0.02148388 1.01745987
76 76.000000 6.1775374694 65.5962644518 71.7738019213 129.527397 -0.51103163 0.50000000 0.01103163 0.02206325 1.02328490
77 77.000000 6.1198473471 65.6557571615 71.7756045085 128.317780 -0.51120752 0.50000000 0.01120752 0.02241504 1.02671356
78 78.000000 6.0907736184 65.6848558082 71.7756294265 127.708177 -0.51121517 0.50000000 0.01121517 0.02243033 1.02686079
79 79.000000 6.0910411082 65.6827756284 71.7738167366 127.713786 -0.51105185 0.50000000 0.01105185 0.02210370 1.02368324
80 80.000000 6.0980149606 65.6735228949 71.7715378555 127.860010 -0.51076764 0.50000000 0.01076764 0.02153528 1.01798594
81 81.000000 6.0847379445 65.6858708652 71.7706088097 127.581625 -0.51044583 0.50000000 0.01044583 0.02089166 1.01126244
82 82.000000 6.0437470238 65.7278582813 71.7716053052 126.722148 -0.51017441 0.50000000 0.01017441 0.02034883 1.00535103
83 83.000000 5.9927738164 65.7802759892 71.7730498056 125.653369 -0.51002212 0.50000000 0.01002212 0.02004424 1.00193153
84 84.000000 5.9536350293 65.8193863830 71.7730214123 124.832727 -0.51002488 0.50000000 0.01002488 0.02004976 1.00199424
85 85.000000 5.9266106821 65.8449820817 71.7715927638 124.266094 -0.51018101 0.50000000 0.01018101 0.02036202 1.00549746
86 86.000000 5.8911844941 65.8795262929 71.7707107870 123.523296 -0.51045147 0.50000000 0.01045147 0.02090294 1.01138288
87 87.000000 5.8318155619 65.9398920993 71.7717076611 122.278479 -0.51076543 0.50000000 0.01076543 0.02153085 1.01794066
88 88.000000 5.7572679100 66.0166067351 71.7738746451 120.715403 -0.51103467 0.50000000 0.01103467 0.02206935 1.02334498
89 89.000000 5.6933552289 66.0820508697 71.7754060986 119.375315 -0.51117817 0.50000000 0.01117817 0.02235633 1.02614689
90 90.000000 5.6595018249 66.1155504503 71.7750522753 118.665495 -0.51115007 0.50000000 0.01115007 0.02230014 1.02560241
91 91.000000 5.6516917556 66.1213261071 71.7730178626 118.501737 -0.51095761 0.50000000 0.01095761 0.02191522 1.02181812
92 92.000000 5.6454906325 66.1253507590 71.7708413915 118.371715 -0.51065817 0.50000000 0.01065817 0.02131633 1.01573215
93 93.000000 5.6171425575 66.1531073789 71.7702499364 117.777327 -0.51033731 0.50000000 0.01033731 0.02067461 1.00892619
94 94.000000 5.5655515398 66.2059163059 71.7714678457 116.695594 -0.51008050 0.50000000 0.01008050 0.02016101 1.00325146
95 95.000000 5.5127021361 66.2600481698 71.7727503059 115.587475 -0.50995095 0.50000000 0.00995095 0.01990189 1.00030723
96 96.000000 5.4787414650 66.2936256687 71.7723671337 114.875405 -0.50997786 0.50000000 0.00997786 0.01995571 1.00092337
97 97.000000 5.4587152852 66.3121145208 71.7708298061 114.455507 -0.51015270 0.50000000 0.01015270 0.02030541 1.00486819
98 98.000000 5.4291793437 66.3410244586 71.7702038022 113.836212 -0.51043024 0.50000000 0.01043024 0.02086048 1.01092905
99 99.000000 5.3762065504 66.3953090993 71.7715156498 112.725506 -0.51073533 0.50000000 0.01073533 0.02147066 1.01732422
100 100.000000 5.3114369759 66.4622919710 71.7737289469 111.367452 -0.51097930 0.50000000 0.01097930 0.02195860 1.02224943
101 101.000000 5.2606817477 66.5143005154 71.7749822631 110.303242 -0.51108601 0.50000000 0.01108601 0.02217202 1.02435355
102 102.000000 5.2396515176 66.5345686199 71.7742201375 109.862291 -0.51101922 0.50000000 0.01101922 0.02203844 1.02304007
103 103.000000 5.2396086501 66.5323406944 71.7719493445 109.861393 -0.51079709 0.50000000 0.01079709 0.02159418 1.01858642
104 104.000000 5.2345607155 66.5353632351 71.7699239506 109.755550 -0.51048492 0.50000000 0.01048492 0.02096984 1.01209531
105 105.000000 5.2048499216 66.5649023448 71.7697522664 109.132590 -0.51017059 0.50000000 0.01017059 0.02034118 1.00526609
106 106.000000 5.1566866934 66.6145064857 71.7711931791 108.122728 -0.50993639 0.50000000 0.00993639 0.01987278 0.99997296
107 107.000000 5.1158128981 66.6563808171 71.7721937152 107.265708 -0.50983877 0.50000000 0.00983877 0.01967755 0.99771223
108 108.000000 5.0984891110 66.6728622662 71.7713513772 106.902471 -0.50989853 0.50000000 0.00989853 0.01979707 0.99910008
109 109.000000 5.0926147087 66.6771527816 71.7697674903 106.779300 -0.51009816 0.50000000 0.01009816 0.02019633 1.00364847
110 110.000000 5.0723754562 66.6972111914 71.7695866476 106.354934 -0.51038401 0.50000000 0.01038401 0.02076801 1.00993594
111 111.000000 5.0281155285 66.7432367499 71.7713522784 105.426915 -0.51067523 0.50000000 0.01067523 0.02135045 1.01608563
112 112.000000 4.9766902347 66.7968847082 71.7735749430 104.348656 -0.51088328 0.50000000 0.01088328 0.02176655 1.02033028
113 113.000000 4.9440008217 66.8303583905 71.7743592122 103.663241 -0.51094008 0.50000000 0.01094008 0.02188016 1.02146851
114 114.000000 4.9400354819 66.8329612364 71.7729967184 103.580098 -0.51082391 0.50000000 0.01082391 0.02164782 1.01913124
115 115.000000 4.9493101811 66.8211803364 71.7704905175 103.774565 -0.51056847 0.50000000 0.01056847 0.02113695 1.01386023
116 116.000000 4.9447428651 66.8241196049 71.7688624700 103.678800 -0.51024932 0.50000000 0.01024932 0.02049865 1.00700549
117 117.000000 4.9140304663 66.8553338464 71.7693643127 103.034838 -0.50995599 0.50000000 0.00995599 0.01991199 1.00042299
118 118.000000 4.8733116294 66.8976574425 71.7709690719 102.181067 -0.50976476 0.50000000 0.00976476 0.01952952 0.99597605
119 119.000000 4.8501646568 66.9212158885 71.7713805453 101.695733 -0.50972132 0.50000000 0.00972132 0.01944264 0.99494809
120 120.000000 4.8518275598 66.9181387339 71.7699662937 101.730600 -0.50983356 0.50000000 0.00983356 0.01966712 0.99759052
121 121.000000 4.8566987861 66.9119253227 71.7686241088 101.832737 -0.51007049 0.50000000 0.01007049 0.02014099 1.00302593
122 122.000000 4.8399924230 66.9292793273 71.7692717503 101.482447 -0.51036654 0.50000000 0.01036654 0.02073308 1.00955905
123 123.000000 4.8017122074 66.9698638640 71.7715760714 100.679807 -0.51063438 0.50000000 0.01063438 0.02126876 1.01523802
124 124.000000 4.7658431975 67.0076842824 71.7735274799 99.927725 -0.51078908 0.50000000 0.01078908 0.02157816 1.01842337
125 125.000000 4.7554334914 67.0180114530 71.7734449444 99.709459 -0.51077796 0.50000000 0.01077796 0.02155592 1.01819661
126 126.000000 4.7701691626 67.0011518075 71.7713209701 100.018429 -0.51060194 0.50000000 0.01060194 0.02120389 1.01456146
127 127.000000 4.7864175462 66.9824360570 71.7688536032 100.359117 -0.51031532 0.50000000 0.01031532 0.02063064 1.00844842
128 128.000000 4.7800447462 66.9880604209 71.7681051671 100.225495 -0.51000395 0.50000000 0.01000395 0.02000790 1.00151853
129 129.000000 4.7519074807 67.0174987456 71.7694062263 99.635528 -0.50975518 0.50000000 0.00975518 0.01951036 0.99574988
130 130.000000 4.7282936675 67.0424494715 71.7707431389 99.140406 -0.50963368 0.50000000 0.00963368 0.01926735 0.99285322
131 131.000000 4.7314274706 67.0387399495 71.7701674201 99.206114 -0.50966868 0.50000000 0.00966868 0.01933737 0.99369330
132 132.000000 4.7530491841 67.0153729006 71.7684220847 99.659466 -0.50984987 0.50000000 0.00984987 0.01969973 0.99797079
133 133.000000 4.7643561846 67.0035805454 71.7679367300 99.896546 -0.51012859 0.50000000 0.01012859 0.02025718 1.00433006
134 134.000000 4.7497080420 67.0199810303 71.7696890723 99.589411 -0.51042591 0.50000000 0.01042591 0.02085182 1.01083634
135 135.000000 4.7233427641 67.0488738697 71.7722166338 99.036598 -0.51065138 0.50000000 0.01065138 0.02130275 1.01559126
136 136.000000 4.7132696594 67.0600563838 71.7733260432 98.825390 -0.51073191 0.50000000 0.01073191 0.02146382 1.01725403
137 137.000000 4.7329130244 67.0391477197 71.7720607441 99.237262 -0.51064006 0.50000000 0.01064006 0.02128011 1.01535609
138 138.000000 4.7682250114 67.0011998209 71.7694248323 99.977665 -0.51040563 0.50000000 0.01040563 0.02081127 1.01040130
139 139.000000 4.7913281040 66.9763041280 71.7676322320 100.462079 -0.51010322 0.50000000 0.01010322 0.02020643 1.00376186
140 140.000000 4.7890656107 66.9790305491 71.7680961598 100.414640 -0.50982353 0.50000000 0.00982353 0.01964707 0.99735632
141 141.000000 4.7782441536 66.9914983030 71.7697424567 100.187741 -0.50964472 0.50000000 0.00964472 0.01928945 0.99311879
142 142.000000 4.7875346308 66.9825927111 71.7701273419 100.382539 -0.50961392 0.50000000 0.00961392 0.01922784 0.99237713
143 143.000000 4.8235958040 66.9450411381 71.7686369421 101.138651 -0.50973954 0.50000000 0.00973954 0.01947908 0.99538006
144 144.000000 4.8628406729 66.9045032281 71.7673439010 101.961517 -0.50999019 0.50000000 0.00999019 0.01998038 1.00120499
145 145.000000 4.8795519726 66.8886688301 71.7682208027 102.311911 -0.51029913 0.50000000 0.01029913 0.02059826 1.00809573
146 146.000000 4.8750190002 66.8957582446 71.7707772449 102.216866 -0.51057780 0.50000000 0.01057780 0.02115561 1.01405600
147 147.000000 4.8751681238 66.8976584625 71.7728265863 102.219993 -0.51074095 0.50000000 0.01074095 0.02148190 1.01743952
148 148.000000 4.9035819637 66.8690896100 71.7726715737 102.815760 -0.51073719 0.50000000 0.01073719 0.02147438 1.01736238
149 149.000000 4.9589110786 66.8115349540 71.7704460326 103.975872 -0.51057004 0.50000000 0.01057004 0.02114009 1.01389317
150 150.000000 5.0166435858 66.7513527319 71.7679963177 105.186377 -0.51029639 0.50000000 0.01029639 0.02059279 1.00803604
151 151.000000 5.0534422386 66.7139180935 71.7673603322 105.957952 -0.51000343 0.50000000 0.01000343 0.02000687 1.00150674
152 152.000000 5.0717591784 66.6969130990 71.7686722775 106.342012 -0.50977821 0.50000000 0.00977821 0.01955641 0.99629294
153 153.000000 5.0975218553 66.6723060224 71.7698278777 106.882190 -0.50968397 0.50000000 0.00968397 0.01936794 0.99405870
154 154.000000 5.1497126695 66.6193766841 71.7690893536 107.976500 -0.50974804 0.50000000 0.00974804 0.01949608 0.99558121
155 155.000000 5.2169366393 66.5505155597 71.7674521990 109.386018 -0.50995811 0.50000000 0.00995811 0.01991622 1.00047153
156 156.000000 5.2707649137 66.4965266835 71.7672915972 110.514661 -0.51026380 0.50000000 0.01026380 0.02052760 1.00732320
157 157.000000 5.2988957127 66.4704282883 71.7693240010 111.104493 -0.51058509 0.50000000 0.01058509 0.02117018 1.01420876
158 158.000000 5.3185425430 66.4534114010 71.7719539439 111.516437 -0.51083150 0.50000000 0.01083150 0.02166299 1.01928505
159 159.000000 5.3585218622 66.4145527548 71.7730746170 112.354703 -0.51093087 0.50000000 0.01093087 0.02186175 1.02128466
160 160.000000 5.4319966673 66.3398699912 71.7718666585 113.895285 -0.51085683 0.50000000 0.01085683 0.02171366 1.01979735
161 161.000000 5.5252976277 66.2440381395 71.7693357672 115.851571 -0.51063952 0.50000000 0.01063952 0.02127903 1.01534484
162 162.000000 5.6112498089 66.1562877794 71.7675375883 117.653771 -0.51035301 0.50000000 0.01035301 0.02070602 1.00926651
163 163.000000 5.6753661345 66.0924058845 71.7677720190 118.998129 -0.51008748 0.50000000 0.01008748 0.02017497 1.00340845
164 164.000000 5.7298510686 66.0392777068 71.7691287754 120.140541 -0.50992135 0.50000000 0.00992135 0.01984270 0.99962679
165 165.000000 5.7982496280 65.9712143633 71.7694639913 121.574686 -0.50990339 0.50000000 0.00990339 0.01980678 0.99921232
166 166.000000 5.8859303775 65.8822511406 71.7681815181 123.413131 -0.51004505 0.50000000 0.01004505 0.02009010 1.00245127
167 167.000000 5.9721852165 65.7948712534 71.7670564699 125.221677 -0.51031913 0.50000000 0.01031913 0.02063826 1.00853132
168 168.000000 6.0341237857 65.7337665821 71.7678903678 126.520373 -0.51066336 0.50000000 0.01066336 0.02132671 1.01583977
169 169.000000 6.0728418687 65.6975437973 71.7703856660 127.332194 -0.51099188 0.50000000 0.01099188 0.02198376 1.02249901
170 170.000000 6.1130852954 65.6595785763 71.7726638717 128.175997 -0.51121743 0.50000000 0.01121743 0.02243487 1.02690444
171 171.000000 6.1804553502 65.5926292990 71.7730846492 129.588577 -0.51128001 0.50000000 0.01128001 0.02256002 1.02810369
172 172.000000 6.2797579280 65.4916656483 71.7714235763 131.670702 -0.51116945 0.50000000 0.01116945 0.02233889 1.02597811
173 173.000000 6.3917825694 65.3771533884 71.7689359578 134.019577 -0.51092915 0.50000000 0.01092915 0.02185830 1.02125023
174 174.000000 6.4897812320 65.2776550829 71.7674363149 136.074362 -0.51063885 0.50000000 0.01063885 0.02127770 1.01533096
175 175.000000 6.5620923994 65.2056398068 71.7677322062 137.590545 -0.51038685 0.50000000 0.01038685 0.02077371 1.00999727
176 176.000000 6.6198983720 65.1488385987 71.7687369707 138.802590 -0.51024546 0.50000000 0.01024546 0.02049091 1.00692053
177 177.000000 6.6804817060 65.0882370298 71.7687187358 140.072870 -0.51025630 0.50000000 0.01025630 0.02051259 1.00715861
178 178.000000 6.7437386544 65.0238050367 71.7675436910 141.399209 -0.51042455 0.50000000 0.01042455 0.02084910 1.01080721
179 179.000000 6.7903511903 64.9765176223 71.7668688126 142.376557 -0.51071837 0.50000000 0.01071837 0.02143673 1.01697569
180 180.000000 6.8039889807 64.9640286427 71.7680176233 142.662507 -0.51107291 0.50000000 0.01107291 0.02214583 1.02409690
181 181.000000 6.7908657090 64.9796194152 71.7704851243 142.387345 -0.51140212 0.50000000 0.01140212 0.02280423 1.03041600
182 182.000000 6.7761355019 64.9964452968 71.7725807987 142.078489 -0.51162021 0.50000000 0.01162021 0.02324043 1.03445713
183 183.000000 6.7833950977 64.9895106912 71.7729057890 142.230705 -0.51166888 0.50000000 0.01166888 0.02333775 1.03534367
184 184.000000 6.8165220351 64.9547311328 71.7712531679 142.925293 -0.51153827 0.50000000 0.01153827 0.02307653 1.03295185
185 185.000000 6.8569828980 64.9117041023 71.7686870003 143.773656 -0.51127056 0.50000000 0.01127056 0.02254111 1.02792316
186 186.000000 6.8779050608 64.8889731027 71.7668781635 144.212341 -0.51094395 0.50000000 0.01094395 0.02188791 1.02154588
187 187.000000 6.8649814178 64.9018269385 71.7668083563 143.941364 -0.51064644 0.50000000 0.01064644 0.02129288 1.01548872
188 188.000000 6.8266443409 64.9411358205 71.7677801614 143.137533 -0.51045176 0.50000000 0.01045176 0.02090351 1.01138904
189 189.000000 6.7821239770 64.9860362893 71.7681602663 142.204053 -0.51040458 0.50000000 0.01040458 0.02080917 1.01037871
190 190.000000 6.7387303141 65.0286809342 71.7674112483 141.294197 -0.51051431 0.50000000 0.01051431 0.02102861 1.01271835
191 191.000000 6.6844511306 65.0823304255 71.7667815561 140.156099 -0.51075410 0.50000000 0.01075410 0.02150819 1.01770891
192 192.000000 6.6045583113 65.1631116004 71.7676699117 138.480948 -0.51106419 0.50000000 0.01106419 0.02212839 1.02392577
193 193.000000 6.5018899275 65.2680532662 71.7699431937 136.328251 -0.51136200 0.50000000 0.01136200 0.02272401 1.02966042
194 194.000000 6.3983852728 65.3737306031 71.7721158760 134.158019 -0.51156172 0.50000000 0.01156172 0.02312344 1.03338430
195 195.000000 6.3180918468 65.4545853349 71.7726771817 132.474468 -0.51160064 0.50000000 0.01160064 0.02320127 1.03409897
196 196.000000 6.2682659990 65.5028888956 71.7711548946 131.429745 -0.51146174 0.50000000 0.01146174 0.02292349 1.03153203
197 197.000000 6.2335236096 65.5349065302 71.7684301397 130.701285 -0.51118048 0.50000000 0.01118048 0.02236097 1.02619168
198 198.000000 6.1876171986 65.5786287721 71.7662459707 129.738743 -0.51083152 0.50000000 0.01083152 0.02166305 1.01928557
199 199.000000 6.1152179646 65.6506721976 71.7658901622 128.220714 -0.51050314 0.50000000 0.01050314 0.02100629 1.01248196
200 200.000000 6.0254881707 65.7414063447 71.7668945154 126.339306 -0.51027204 0.50000000 0.01027204 0.02054409 1.00750378
201 201.000000 5.9419286653 65.8255385924 71.7674672577 124.587274 -0.51018687 0.50000000 0.01018687 0.02037373 1.00562727
202 202.000000 5.8765139338 65.8901922193 71.7667061531 123.215692 -0.51026090 0.50000000 0.01026090 0.02052180 1.00725962
203 203.000000 5.8171764074 65.9486049463 71.7657813537 121.971533 -0.51047060 0.50000000 0.01047060 0.02094119 1.01179063
204 204.000000 5.7436296069 66.0227440912 71.7663736981 120.429442 -0.51075835 0.50000000 0.01075835 0.02151669 1.01779589
205 205.000000 5.6520313951 66.1165557886 71.7685871838 118.508858 -0.51104209 0.50000000 0.01104209 0.02208417 1.02349103
206 206.000000 5.5607115691 66.2101600090 71.7708715781 116.594112 -0.51123480 0.50000000 0.01123480 0.02246960 1.02723819
207 207.000000 5.4933291132 66.2781611351 71.7714902483 115.181271 -0.51127166 0.50000000 0.01127166 0.02254331 1.02794417
208 208.000000 5.4574936071 66.3123490228 71.7698426299 114.429891 -0.51113403 0.50000000 0.01113403 0.02226806 1.02529072
209 209.000000 5.4373157591 66.3295839612 71.7668997203 114.006812 -0.51085713 0.50000000 0.01085713 0.02171426 1.01980339
210 210.000000 5.4062075587 66.3584108757 71.7646184344 113.354552 -0.51051639 0.50000000 0.01051639 0.02103279 1.01276251
211 211.000000 5.3508692747 66.4134931531 71.7643624278 112.194248 -0.51020071 0.50000000 0.01020071 0.02040142 1.00593378
212 212.000000 5.2847452642 66.4807047454 71.7654500096 110.807794 -0.50998622 0.50000000 0.00998622 0.01997244 1.00111442
213 213.000000 5.2340051355 66.5318476328 71.7658527683 109.743901 -0.50991953 0.50000000 0.00991953 0.01983906 0.99958478
214 214.000000 5.2080886888 66.5567118117 71.7648005005 109.200498 -0.51001046 0.50000000 0.01001046 0.02002093 1.00166672
215 215.000000 5.1890097694 66.5748250164 71.7638347858 108.800461 -0.51023087 0.50000000 0.01023087 0.02046174 1.00659954
216 216.000000 5.1527538145 66.6119815836 71.7647353981 108.040265 -0.51051818 0.50000000 0.01051818 0.02103637 1.01280036
